350,67,98
401,78,86
365,80,99
406,80,157
398,82,124
356,84,150
404,84,106
366,85,126
392,87,86
347,90,165
359,91,198
376,91,194
385,91,96
396,91,124
372,93,114
380,93,113
367,94,114
354,100,90
385,99,104
382,100,86
328,102,166
331,101,107
362,104,134
368,108,92
426,113,92
414,117,99
423,119,88
330,127,151
347,128,173
334,131,121
413,141,91
362,145,90
317,150,106
393,153,86
383,157,238
388,159,67
320,161,158
322,164,278
314,169,172
375,173,91
383,175,99
343,177,278
377,178,226
316,180,111
319,180,122
350,182,87
354,187,133
311,188,209
373,188,94
329,189,88
374,191,179
324,194,94
313,197,121
313,202,238
352,202,251
375,204,179
367,211,223
382,212,103
358,213,105
326,215,95
359,217,153
356,217,142
340,220,107
343,219,87
336,221,105
346,222,144
363,224,247
343,225,101
348,226,99
325,228,226
323,231,179
365,231,120
333,231,157
371,231,109
362,233,228
340,234,180
367,235,284
349,238,231
345,242,87
328,250,65
348,249,91
329,253,317
326,259,92
