96,59,419
102,64,306
145,67,342
124,68,434
401,69,225
113,69,249
77,71,404
379,72,338
412,71,351
178,72,583
386,73,310
153,73,325
183,74,514
389,74,283
378,74,324
130,75,235
384,76,520
151,77,331
160,76,260
360,77,292
403,78,267
419,77,228
397,79,280
134,80,278
142,80,306
323,80,322
165,80,276
189,80,241
62,82,354
201,83,446
348,81,243
96,83,504
405,83,375
143,84,242
366,84,386
377,86,543
58,86,286
161,85,274
410,86,202
349,87,337
404,87,478
327,88,439
356,88,291
407,88,246
198,89,381
375,90,223
373,90,420
168,91,300
363,91,395
125,91,246
136,92,490
388,92,374
178,93,374
345,93,440
355,94,506
64,94,385
348,95,579
374,95,499
414,94,370
174,96,257
382,95,476
56,97,431
329,96,432
201,97,230
344,98,447
385,98,385
58,99,472
130,98,251
197,99,378
327,100,582
403,99,230
413,100,231
207,102,414
222,101,408
416,100,230
178,102,313
349,102,381
369,102,302
57,103,363
373,103,408
379,104,365
156,105,348
401,105,182
203,105,275
396,107,247
352,107,442
383,107,305
112,108,279
181,108,367
425,108,213
418,108,230
422,109,283
209,110,495
166,111,257
389,113,242
413,111,246
184,113,557
189,113,309
102,114,384
131,116,307
167,116,275
390,116,289
186,117,395
346,117,610
106,117,246
319,118,453
191,118,242
354,118,246
424,119,442
177,121,373
204,120,256
105,121,362
245,123,297
318,123,877
408,122,252
179,124,320
254,123,546
281,122,239
176,123,546
265,126,355
267,125,325
322,125,403
246,126,319
178,126,256
346,127,397
406,126,266
141,130,418
264,129,368
293,129,534
322,132,677
325,132,406
277,133,559
82,133,270
258,134,260
420,134,420
261,136,536
392,135,247
335,135,242
342,135,238
406,136,232
248,137,411
259,137,466
253,138,328
355,137,242
73,140,314
326,140,359
162,141,274
376,140,236
254,143,424
85,143,497
256,144,245
280,142,244
95,143,266
250,144,286
326,144,299
63,144,252
148,146,517
254,146,274
120,148,240
244,149,307
414,148,262
240,151,323
410,151,230
330,152,427
96,153,319
186,153,254
142,154,297
251,154,267
385,154,239
68,156,262
96,158,249
191,157,318
236,156,296
323,157,394
326,156,244
92,158,232
332,158,255
230,159,256
205,161,382
263,162,384
339,162,486
101,162,315
173,163,348
244,163,470
85,163,240
268,163,310
175,165,208
252,165,267
264,164,303
339,164,492
172,165,637
315,167,332
185,168,442
255,171,264
370,170,337
388,170,181
266,170,278
257,173,373
274,174,689
310,176,526
343,176,280
390,175,443
153,176,268
308,176,298
324,176,242
249,178,384
258,179,548
303,177,237
342,179,222
193,181,314
243,182,314
342,183,539
169,184,382
266,184,543
322,184,258
376,185,234
245,185,247
351,187,240
232,190,286
261,190,371
349,193,396
328,193,234
265,196,724
323,195,271
358,196,233
192,200,315
262,203,417
279,203,435
388,205,219
375,208,277
389,207,366
128,209,464
243,208,260
255,209,378
257,209,448
323,211,338
117,212,376
138,211,322
312,212,523
339,212,279
366,211,231
385,211,269
211,213,398
320,215,385
293,217,228
355,218,361
369,217,241
380,217,329
122,217,245
325,219,385
366,221,188
356,220,314
103,222,403
332,222,542
128,224,358
248,223,544
337,223,365
93,223,238
237,225,651
258,224,270
262,224,438
363,225,200
373,224,409
188,226,288
352,226,375
359,227,219
128,226,280
336,226,302
118,228,325
133,227,308
362,228,318
215,229,316
232,228,276
174,229,260
376,231,448
187,231,256
124,232,294
183,232,248
234,234,507
215,235,594
351,235,476
133,236,333
333,237,459
86,239,329
104,239,404
122,241,260
113,242,279
218,241,516
95,243,354
150,243,253
120,244,285
354,245,617
338,245,238
104,247,245
355,247,255
137,249,323
145,250,460
181,250,290
96,251,369
217,253,426
115,254,318
158,254,295
193,256,302
73,257,540
184,256,336
120,256,249
95,257,276
175,258,255
180,260,301
119,261,350
128,261,283
184,261,411
189,261,334
141,263,373
158,263,497
163,263,252
115,267,458
135,268,455
138,268,272
119,271,321
132,271,284
128,272,286
144,274,247
121,278,314
132,278,259
125,282,502
310,313,240
277,316,356
283,319,524
310,323,345
283,326,226
281,327,255
330,327,271
323,326,284
283,329,430
291,329,423
313,329,247
333,329,257
338,329,346
328,330,341
352,329,232
323,335,288
340,335,233
297,337,256
327,338,390
276,339,271
269,340,358
311,340,283
273,341,234
305,341,228
316,343,377
286,343,339
294,344,406
316,345,268
284,348,262
290,347,232
281,349,231
311,349,248
286,354,248
351,354,338
320,357,248
373,360,301
362,361,250
383,362,228
295,367,416
312,369,230
393,370,277
400,373,318
315,373,237
395,374,276
402,379,248
398,385,308
318,393,226
386,393,228
409,396,418
371,395,226
318,396,282
379,398,338
403,398,212
406,401,183
406,404,328
369,408,306
336,412,434
410,412,374
350,417,300
405,420,343
418,420,378
399,422,262
388,423,233
418,423,373
382,425,314
361,428,389
386,431,295
423,431,364
408,434,351
131,434,368
378,434,329
128,438,248
425,439,277
400,441,320
7,441,210
392,444,216
399,446,245
442,445,249
399,448,498
408,450,175
405,453,369
97,457,230
99,457,299
106,464,219
119,464,220
113,467,235
114,469,224
120,471,196
422,469,213
79,471,288
118,472,237
406,473,215
134,474,249
122,477,229
73,478,229
114,478,234
119,478,293
42,482,258
216,493,213
68,493,233
221,493,216
8,494,235
206,495,299
120,496,250
214,495,335
130,498,217
198,498,347
454,497,208
101,499,220
170,500,257
212,500,273
93,501,212
220,503,494
103,506,231
142,507,253
196,511,237
454,511,259
457,510,231
190,512,271
203,512,286
465,512,261
167,512,218
